iperf,sysbench,ycruncher,pgbench,setId,vmId
9640,7.179229736,4.402891159,179240,1,1
9940,7.173128605,4.458204746,178584,1,1
9020,7.175980568,4.436651468,179612,1,1
9760,7.187607765,4.508559704,179345,2,1
9940,7.177870512,4.48295927,179119,2,1
9940,7.172366142,4.512420177,178835,2,1
9670,7.18426609,4.491287947,180139,2,2
9920,7.173749924,4.50188446,182329,2,2
9560,7.182837009,4.516233206,184283,2,2
7560,7.571827173,4.49740386,170366,3,1
9940,7.571065187,4.626461506,170810,3,1
9750,7.563989401,4.515329838,170753,3,1
9940,7.56785512,4.508360624,171584,3,2
9760,7.565365314,4.471916199,171590,3,2
9940,7.568791628,4.467274666,171879,3,2
9940,7.582254887,4.372757435,174720,3,3
9930,7.565818548,4.386052608,174606,3,3
9910,7.562497377,4.376577616,174430,3,3
9940,7.569170952,4.731976271,170907,4,1
9800,7.571593046,4.709545135,170825,4,1
9940,7.566310406,4.702976704,171397,4,1
9940,7.568086624,4.722434759,171017,4,2
9840,7.568229675,4.711389065,171557,4,2
9590,7.570669889,4.855629206,171189,4,2
9940,7.578480959,4.373110771,174725,4,3
9860,7.56444788,4.376634598,174887,4,3
9940,7.565854549,4.373069525,174687,4,3
9940,7.566496849,4.699435472,182249,4,4
9810,7.565183163,4.712885857,182083,4,4
7540,7.577834368,4.694242239,181904,4,4
9690,7.786764383,4.726468325,171019,5,1
5705,7.781209469,4.99775219,170855,5,1
5687,7.778575897,4.722289085,170504,5,1
7410,7.780590773,4.716115952,173025,5,2
9930,7.783549547,4.693634033,172990,5,2
9730,7.77828908,4.711889029,173231,5,2
7580,7.789438248,4.436052084,174938,5,3
8000,7.774744511,4.439182043,174920,5,3
9780,7.776139021,4.46530652,174700,5,3
8680,7.779414415,4.707220078,181590,5,4
9370,7.776983976,4.700452566,181424,5,4
9630,7.776783228,4.676645756,181627,5,4
9600,7.781475782,4.442934513,181565,5,5
9600,7.778501272,4.46807909,182473,5,5
9910,7.779154539,4.460316181,182183,5,5
