instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.3022260665893,10,10,1,TPC-B (sort of),simple,60 s,167389,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.2760257720947,10,10,1,TPC-B (sort of),simple,60 s,167447,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.2082493305206,10,10,1,TPC-B (sort of),simple,60 s,167434,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.2946488857269,10,10,1,TPC-B (sort of),simple,60 s,168173,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.2273259162902,10,10,1,TPC-B (sort of),simple,60 s,168140,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.1708793640136,10,10,1,TPC-B (sort of),simple,60 s,167926,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.1707258224487,10,10,1,TPC-B (sort of),simple,60 s,167871,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.1724662780761,10,10,1,TPC-B (sort of),simple,60 s,168380,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.1721427440643,10,10,1,TPC-B (sort of),simple,60 s,168249,data_directory = '/var/lib/postgresql/9.5/main'
i-04b9c2f75a375d7e5,1573943301-0,m5d.large,60.179965019226,10,10,1,TPC-B (sort of),simple,60 s,168688,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.3147332668304,10,10,1,TPC-B (sort of),simple,60 s,145692,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.2466962337493,10,10,1,TPC-B (sort of),simple,60 s,145580,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.1434473991394,10,10,1,TPC-B (sort of),simple,60 s,145657,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.27263879776,10,10,1,TPC-B (sort of),simple,60 s,145819,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.2335500717163,10,10,1,TPC-B (sort of),simple,60 s,145833,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.2388005256652,10,10,1,TPC-B (sort of),simple,60 s,145840,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.1793196201324,10,10,1,TPC-B (sort of),simple,60 s,145496,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.1928076744079,10,10,1,TPC-B (sort of),simple,60 s,145798,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.2106144428253,10,10,1,TPC-B (sort of),simple,60 s,146272,data_directory = '/var/lib/postgresql/9.5/main'
i-0127ff963ce39608f,1573943301-0,m5d.large,60.2080976963043,10,10,1,TPC-B (sort of),simple,60 s,146234,data_directory = '/var/lib/postgresql/9.5/main'
i-00a374920f339188c,1573943301-0,m5d.large,60.1876554489135,10,10,1,TPC-B (sort of),simple,60 s,165892,data_directory = '/var/lib/postgresql/9.5/main'
