experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.82146739959716,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.67ms,7.7589s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.78820967674255,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.30ms,7.7634s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.78503680229187,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.73ms,7.7593s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.7942476272583,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.67ms,7.7677s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.79848861694335,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.83ms,7.7700s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.78910589218139,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.38ms,7.7608s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.785897731781,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.59ms,7.7583s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.79415488243103,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1553.10ms,7.7678s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.78653645515441,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.53ms,7.7588s,2
1573942490-0,i-04b9c2f75a375d7e5,m5d.large,7.78627562522888,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.64ms,7.7595s,2
1573942490-0,i-0127ff963ce39608f,m5d.large,9.23598551750183,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.43ms,9.0212s,2
1573942490-0,i-0127ff963ce39608f,m5d.large,9.04188132286071,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.30ms,9.0235s,2
1573942490-0,i-0127ff963ce39608f,m5d.large,9.04680204391479,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.14ms,9.0279s,2
