"instanceID","iperf","setId","vmId"
"i-0062d028d4b1b0c17",1.6375,1,1
"i-0069a2fb2881e526e",1.6381,1,2
"i-0096e0731defa5bcf",1.6427,1,3
"i-0098bacd16b57b4dc",1.629,1,4
"i-00a374920f339188c",1.6522,1,5
"i-00b268a4ae508cf2f",1.631,1,6
"i-00c650a5bff4bf46c",1.6362,1,7
"i-0127ff963ce39608f",1.6279,1,8
"i-01630b674435938c1",1.6199,1,9
"i-018b98b01134abbc5",1.6205,1,10
"i-01e6e4abeaa36080f",1.6262,1,11
"i-02290982499d0a8b6",1.6381,1,12
"i-0260e33164c158580",1.6301,1,13
"i-0314d213ca75d492b",1.6312,1,14
"i-031b2f76071a565fc",2.59618125,1,15
"i-0330f8e04fb45f4ac",1.6268,1,16
"i-03431dab34bcb014e",1.6278,1,17
"i-0431f5b0ba4f686c8",1.627,1,18
"i-047575da5698f4497",1.6414,1,19
"i-04a3348d90ef3a6ac",2.2169,1,20
"i-04b9c2f75a375d7e5",1.6269,1,21
"i-0564c4e163025661e",1.6368,1,22
"i-061f3d47b6ec6d899",1.6327,1,23
"i-06c61b81107579b76",1.6103,1,24
"i-06f3ded19b65d040f",1.6581,1,25
"i-0734e46ea93248b96",9.576,1,26
"i-07371e52fb12110ae",1.6193,1,27
"i-07aba7fdbc894c5fb",1.6278,1,28
"i-0859c1efd18620040",1.6276,1,29
"i-08f094191c88c5263",1.6322,1,30
"i-0935701764f9af451",1.6232,1,31
"i-097c3e46dcf390d8a",1.6567,1,32
"i-09ed11454ccbcef8f",9.534,1,33
"i-0a6946be11150d3cf",9.406,1,34
"i-0ab36265851b2f038",8.913,1,35
"i-0b218a39a18187a2a",1.6276,1,36
"i-0b65af7aa537d3168",1.6388,1,37
"i-0b9926ad5c9938919",1.6379,1,38
"i-0b9ff58588e16d551",1.6547,1,39
"i-0c1b44f5929053a0c",1.6438,1,40
"i-0ca55bbf96a4d4a74",1.6377,1,41
"i-0dacc3a1a65a223ac",1.661,1,42
"i-0e2bba3028e57b933",2.59618125,1,43
"i-0e8f378870dcbd5d3",1.6381,1,44
"i-0e9ad9f08cc1486c9",1.6286,1,45
"i-0ece06eab633a3526",16.357,1,46
"i-0f0e24c09425eac71",1.63,1,47
"i-0f83d46715e5b7ba9",1.6268,1,48
"i-0fe52617ed49f921d",1.6261,1,49
"i-0ff32a7bce1e3a734",1.6275,1,50
