"i_perf","setId","vmId"
18.44,1,1
18.52,1,1
18.32,1,1
18.58,1,1
18.38,1,1
18.86,1,1
19.05,1,1
18.51,1,1
18.35,1,1
18.24,1,1
18.32,1,1
17.52,2,1
17.48,2,1
17.26,2,1
17.61,2,1
17.63,2,1
17.6,2,1
17.48,2,1
17.61,2,1
17.6,2,1
17.78,2,1
17.31,2,1
16.88,2,2
17.16,2,2
16.94,2,2
16.9,2,2
16.71,2,2
17.14,2,2
17.08,2,2
16.97,2,2
17.18,2,2
17.14,2,2
16.96,2,2
13.58,3,1
15.19,3,1
13.08,3,1
12.41,3,1
8.396,3,1
8.276,3,1
8.126,3,1
5.26,3,1
1.34,3,1
8.505,3,1
5.678,3,1
11.93,3,2
12.98,3,2
11.71,3,2
14.39,3,2
16.05,3,2
16.16,3,2
15.94,3,2
16.68,3,2
16.77,3,2
15.76,3,2
16.51,3,2
14.82,3,3
11.94,3,3
12.41,3,3
14.95,3,3
15.94,3,3
16.41,3,3
16.19,3,3
14.85,3,3
17.04,3,3
15.86,3,3
16.16,3,3
2.63,4,1
5.239,4,1
1.49,4,1
1.488,4,1
1.507,4,1
1.488,4,1
1.489,4,1
1.488,4,1
1.487,4,1
1.486,4,1
1.48,4,1
12.02,4,2
12.97,4,2
12,4,2
10.95,4,2
14.92,4,2
7.31,4,2
1.497,4,2
1.52,4,2
1.52,4,2
7.646,4,2
3.44,4,2
14.96,4,3
12.24,4,3
12.71,4,3
11.04,4,3
13.32,4,3
16.22,4,3
16.55,4,3
16.56,4,3
16.73,4,3
15.71,4,3
16.03,4,3
12.93,4,4
14.28,4,4
10.87,4,4
15.59,4,4
12.15,4,4
13.34,4,4
16.46,4,4
16.72,4,4
14.86,4,4
15.98,4,4
16.81,4,4
2.91,5,1
1.568,5,1
1.486,5,1
1.486,5,1
1.488,5,1
1.488,5,1
1.488,5,1
1.486,5,1
1.489,5,1
1.486,5,1
1.486,5,1
2.61,5,2
5.898,5,2
6.967,5,2
5.919,5,2
5.329,5,2
6.218,5,2
5.968,5,2
1.528,5,2
7.247,5,2
7.177,5,2
1.51,5,2
11.44,5,3
12.61,5,3
11.39,5,3
10.98,5,3
12.1,5,3
14.56,5,3
8.86,5,3
1.532,5,3
1.517,5,3
7.016,5,3
1.529,5,3
10.13,5,4
13.63,5,4
13.74,5,4
13.82,5,4
11.46,5,4
12.55,5,4
13.42,5,4
16.35,5,4
15.35,5,4
14.14,5,4
16.37,5,4
13.98,5,5
11.11,5,5
10.68,5,5
12.24,5,5
10.22,5,5
11.63,5,5
12.55,5,5
16.71,5,5
15.89,5,5
13.99,5,5
16.71,5,5
2.81,6,1
1.552,6,1
1.496,6,1
1.487,6,1
1.488,6,1
1.486,6,1
1.488,6,1
1.488,6,1
1.488,6,1
1.486,6,1
1.486,6,1
2.66,6,2
1.504,6,2
1.517,6,2
5.699,6,2
5.499,6,2
5.629,6,2
1.52,6,2
5.36,6,2
5.249,6,2
5.469,6,2
2.332,6,2
2.68,6,3
6.737,6,3
1.498,6,3
4.301,6,3
4.281,6,3
1.511,6,3
1.512,6,3
5.03,6,3
6.617,6,3
1.511,6,3
1.508,6,3
12.37,6,4
13.51,6,4
12.2,6,4
10.11,6,4
9.93,6,4
10.7,6,4
12.26,6,4
11.61,6,4
5.72,6,4
1.516,6,4
6.817,6,4
10.76,6,5
10.31,6,5
9.98,6,5
10.21,6,5
11.05,6,5
11.16,6,5
11.72,6,5
10.54,6,5
11.93,6,5
15.68,6,5
15.11,6,5
12.89,6,6
11.16,6,6
12.94,6,6
12.7,6,6
11.63,6,6
11.44,6,6
10.68,6,6
12.26,6,6
12.14,6,6
15.52,6,6
15.1,6,6
2.81,7,1
1.491,7,1
1.654,7,1
1.486,7,1
1.488,7,1
1.486,7,1
1.486,7,1
1.489,7,1
1.486,7,1
1.488,7,1
1.488,7,1
2.82,7,2
1.609,7,2
1.535,7,2
1.489,7,2
1.488,7,2
1.488,7,2
1.486,7,2
1.488,7,2
1.488,7,2
1.488,7,2
1.488,7,2
6.42,7,3
1.509,7,3
4.546,7,3
1.51,7,3
5.689,7,3
1.508,7,3
1.491,7,3
1.513,7,3
1.511,7,3
1.506,7,3
4.64,7,3
2.58,7,4
6.468,7,4
5.21,7,4
6.827,7,4
5.21,7,4
1.504,7,4
1.509,7,4
1.515,7,4
1.525,7,4
6.967,7,4
1.508,7,4
10.61,7,5
12.21,7,5
11.69,7,5
9.8,7,5
10.23,7,5
13.27,7,5
9.84,7,5
10.57,7,5
13.28,7,5
10.72,7,5
10.25,7,5
11.3,7,6
11.69,7,6
11.49,7,6
10.11,7,6
11.33,7,6
12.34,7,6
9.77,7,6
11.68,7,6
11.17,7,6
13.04,7,6
11.22,7,6
10.56,7,7
12.24,7,7
11.46,7,7
13.45,7,7
12.44,7,7
11.58,7,7
13.68,7,7
10.4,7,7
11.43,7,7
10.81,7,7
11.38,7,7
2.45,8,1
1.893,8,1
1.49,8,1
1.49,8,1
1.516,8,1
1.488,8,1
1.488,8,1
1.486,8,1
1.488,8,1
1.446,8,1
1.501,8,1
2.81,8,2
1.489,8,2
1.491,8,2
1.489,8,2
1.488,8,2
1.52,8,2
1.519,8,2
1.478,8,2
1.5,8,2
1.488,8,2
1.488,8,2
5.24,8,3
3.796,8,3
4.566,8,3
4.332,8,3
4.66,8,3
5.729,8,3
6.737,8,3
4.7,8,3
1.521,8,3
4.88,8,3
1.509,8,3
5.24,8,4
4.016,8,4
1.511,8,4
1.469,8,4
1.472,8,4
5.687,8,4
1.504,8,4
4.546,8,4
1.593,8,4
4.99,8,4
1.518,8,4
7.9,8,5
8.21,8,5
1.505,8,5
4.69,8,5
1.489,8,5
1.494,8,5
1.498,8,5
4.431,8,5
4.53,8,5
4.221,8,5
4.57,8,5
10.52,8,6
8.24,8,6
11.58,8,6
11.02,8,6
11.64,8,6
11.1,8,6
11.87,8,6
9.57,8,6
12.37,8,6
10.37,8,6
10.72,8,6
8.87,8,7
10.12,8,7
12.11,8,7
10.16,8,7
11.43,8,7
10.5,8,7
10.33,8,7
11.85,8,7
10.28,8,7
10.24,8,7
10.95,8,7
6.39,8,8
8.38,8,8
10.65,8,8
10.05,8,8
10.27,8,8
10.28,8,8
11.28,8,8
9.25,8,8
12.37,8,8
9.65,8,8
10.18,8,8
2.9,9,1
1.602,9,1
1.488,9,1
1.486,9,1
1.488,9,1
1.486,9,1
1.488,9,1
1.488,9,1
1.488,9,1
1.488,9,1
1.489,9,1
2.55,9,2
1.893,9,2
1.487,9,2
1.523,9,2
1.482,9,2
1.495,9,2
1.488,9,2
1.487,9,2
1.489,9,2
1.486,9,2
1.486,9,2
2.6,9,3
1.514,9,3
5.05,9,3
4.701,9,3
1.506,9,3
5.279,9,3
1.499,9,3
3.452,9,3
1.519,9,3
1.501,9,3
1.521,9,3
3.64,9,4
1.611,9,4
1.489,9,4
4.241,9,4
1.494,9,4
1.507,9,4
5.13,9,4
4.58,9,4
1.496,9,4
1.515,9,4
5.719,9,4
3.64,9,5
1.59,9,5
4.7,9,5
1.473,9,5
5.868,9,5
5.21,9,5
5.639,9,5
1.478,9,5
1.502,9,5
4.071,9,5
1.511,9,5
5.94,9,6
10.62,9,6
5.29,9,6
4.576,9,6
4.446,9,6
1.508,9,6
1.476,9,6
3.705,9,6
5.729,9,6
5.519,9,6
1.504,9,6
6.1,9,7
