experimentID,set id,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.08886218070983,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.37ms,9.0233s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.05831861495971,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.81ms,9.0378s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.04495573043823,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0238s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.03987717628479,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.74ms,9.0185s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.04684352874755,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.48ms,9.0241s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.03847217559814,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.18ms,9.0168s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.05706095695495,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.41ms,9.0259s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.06912350654602,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.61ms,9.0359s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.05681276321411,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.10ms,9.0165s,2,,
1571978908-0,0,i-001050c1bdb37b36e,m5d.large,9.06637620925903,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.01ms,9.0193s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.18665719032287,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.85ms,9.0292s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.04718518257141,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.30ms,9.0262s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.0371344089508,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.02ms,9.0163s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.0400857925415,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.58ms,9.0204s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.08733940124511,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.80ms,9.0668s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.03670597076416,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.99ms,9.0158s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.03745436668396,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.00ms,9.0166s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.04401922225952,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.20ms,9.0238s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.06626033782959,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.78ms,9.0283s,2,,
1571978908-0,0,i-002514db90407e7a4,m5d.large,9.06585049629211,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.61ms,9.0174s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.19392538070678,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.99ms,9.0260s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.05139422416687,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.23ms,9.0310s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.04530620574951,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.69ms,9.0166s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.03854322433471,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.52ms,9.0169s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.08539652824401,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.35ms,9.0619s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.04115009307861,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.65ms,9.0172s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.04421019554138,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.84ms,9.0215s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.04879641532898,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.13ms,9.0257s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.04594278335571,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.51ms,9.0208s,2,,
1571978908-0,0,i-010734abc7e029645,m5d.large,9.03859138488769,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.62ms,9.0147s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.07562065124511,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.75ms,9.0407s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.03777432441711,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.81ms,9.0170s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.0363974571228,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.73ms,9.0171s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.03464865684509,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.87ms,9.0157s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.0443947315216,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.82ms,9.0167s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.03861904144287,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.76ms,9.0195s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.03801298141479,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.93ms,9.0180s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.04016208648681,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0216s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.03964972496032,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.05ms,9.0205s,2,,
1571978908-0,0,i-0108823c394d58a23,m5d.large,9.03819823265075,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.89ms,9.0175s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.05314183235168,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0222s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.06220340728759,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.29ms,9.0400s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.03802227973938,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0161s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.03765225410461,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.62ms,9.0175s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.09089112281799,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.16ms,9.0712s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.04267120361328,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.22ms,9.0225s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.04013156890869,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.81ms,9.0191s,2,,
1571978908-0,0,i-0147c85eaa957f499,m5d.large,9.04207205772399,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.20ms,9.0222s,2,,
