instanceID,experimentID,setid,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,,mountPoint,,,,
i-0006f473d2cfd727f,1567221104-0,0,m5d.large,60.22825241,10,10,1,TPC-B (sort of),simple,60 s,27856,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-0006f473d2cfd727f,1567221104-0,0,m5d.large,60.24139357,10,10,1,TPC-B (sort of),simple,60 s,27548,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-0006f473d2cfd727f,1567221104-0,0,m5d.large,60.21872687,10,10,1,TPC-B (sort of),simple,60 s,27595,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-0006f489be2256f72,1567221104-0,0,m5d.large,60.28632259,10,10,1,TPC-B (sort of),simple,60 s,28551,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-0006f489be2256f72,1567221104-0,0,m5d.large,60.31009936,10,10,1,TPC-B (sort of),simple,60 s,27650,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-0006f489be2256f72,1567221104-0,0,m5d.large,60.2779789,10,10,1,TPC-B (sort of),simple,60 s,27600,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-004af8cd66aa752c8,1567221104-0,0,m5d.large,60.35024238,10,10,1,TPC-B (sort of),simple,60 s,28327,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-004af8cd66aa752c8,1567221104-0,0,m5d.large,60.36145544,10,10,1,TPC-B (sort of),simple,60 s,27626,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-004af8cd66aa752c8,1567221104-0,0,m5d.large,60.35910821,10,10,1,TPC-B (sort of),simple,60 s,27505,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-00dcc29167f1a11d2,1567221104-0,0,m5d.large,60.29581523,10,10,1,TPC-B (sort of),simple,60 s,28005,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-00dcc29167f1a11d2,1567221104-0,0,m5d.large,60.18781424,10,10,1,TPC-B (sort of),simple,60 s,27101,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-00dcc29167f1a11d2,1567221104-0,0,m5d.large,60.19905066,10,10,1,TPC-B (sort of),simple,60 s,27896,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-00e88d0a4ab318520,1567221104-0,0,m5d.large,60.4364059,10,10,1,TPC-B (sort of),simple,60 s,28563,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-00e88d0a4ab318520,1567221104-0,0,m5d.large,60.41126847,10,10,1,TPC-B (sort of),simple,60 s,27557,,data_directory = '/var/lib/postgresql/9.5/main',,,,
