,iperf,sysbench,ycruncher,pgbench,setId,vmId
0,18.32,7.172615767,4.384687662,185811,1,1
1,18.35,7.172228575,4.371896505,185256,1,1
2,18.32,7.172506094,4.415436983,185510,1,1
3,17.26,7.17618084,4.444210291,185058,2,1
4,17.6,7.172424555,4.462396622,184964,2,1
5,17.78,7.173446178,4.45967555,185293,2,1
6,16.94,7.172844172,4.442824364,180178,2,2
7,17.18,7.173242331,4.426662683,180570,2,2
8,16.96,7.179602623,4.448264837,180373,2,2
9,13.08,7.570428848,4.681686401,184338,3,1
10,1.34,7.566382647,4.693488359,184888,3,1
11,5.678,7.564620495,4.688937426,184917,3,1
12,11.71,7.565715075,4.682487011,180655,3,2
13,16.77,7.565314293,4.674307108,180347,3,2
14,16.51,7.567632198,4.682704926,180284,3,2
15,12.41,7.566603422,4.623782635,186129,3,3
16,17.04,7.566722631,4.894715548,186691,3,3
17,16.16,7.565239906,4.784208775,186576,3,3
18,1.49,7.572187424,4.698076725,185135,4,1
19,1.487,7.566719055,4.714580536,184880,4,1
20,1.48,7.565366983,4.701011181,185306,4,1
21,12,7.566606522,4.677819014,180382,4,2
22,1.52,7.567250729,4.70045948,180537,4,2
23,3.44,7.567578554,4.699389935,180050,4,2
24,12.71,7.566725254,4.673555851,186250,4,3
25,16.73,7.56619525,4.662633896,185597,4,3
26,16.03,7.566975117,4.662121058,185606,4,3
27,10.87,7.572143555,4.789432049,183851,4,4
28,14.86,7.567595482,4.763730526,184362,4,4
29,16.81,7.566190243,4.759471178,183572,4,4
30,1.486,7.789386511,4.831496239,185276,5,1
31,1.489,7.780990839,4.851214647,184848,5,1
32,1.486,7.778948784,4.847651005,185207,5,1
33,6.967,7.780801773,4.821597815,180608,5,2
34,7.247,7.779685974,4.8428092,180578,5,2
35,1.51,7.779860497,4.827271223,180799,5,2
36,11.39,7.779780149,4.800486326,177138,5,3
37,1.517,7.780887365,4.802596331,177706,5,3
38,1.529,7.780282497,4.802148819,177252,5,3
39,13.74,7.784469128,4.890336275,175850,5,4
40,15.35,7.779631615,4.889144659,175499,5,4
41,16.37,7.778777122,4.904016256,176249,5,4
42,10.68,7.781299114,4.796816826,177043,5,5
43,15.89,7.784350634,4.791084528,177396,5,5
44,16.71,7.78146863,4.79524827,176834,5,5
45,1.496,7.788555861,4.881339312,185173,6,1
46,1.488,7.77855134,4.899746895,184908,6,1
47,1.486,7.779363871,4.871865034,184894,6,1
48,1.517,7.780589581,4.852970123,180581,6,2
49,5.249,7.778678417,4.864461422,180734,6,2
50,2.332,7.779552698,4.84932518,180299,6,2
51,1.498,7.78007865,4.873748541,176909,6,3
52,6.617,7.782305479,4.953516483,176990,6,3
53,1.508,7.777150393,4.841122389,177149,6,3
54,12.2,7.784590721,4.922339678,175681,6,4
55,5.72,7.778399467,4.902114153,175122,6,4
56,6.817,7.77862668,4.900517941,175430,6,4
57,9.98,7.780176878,4.838534355,177067,6,5
58,11.93,7.783358574,4.83120203,176502,6,5
59,15.11,7.779394865,4.942415953,176644,6,5
60,12.94,7.780218363,4.868169546,172568,6,6
61,12.14,7.781867981,4.859736443,172732,6,6
62,15.1,7.780580282,4.887673616,173077,6,6
63,1.654,7.792437315,4.918649673,185015,7,1
64,1.486,7.778933525,4.912889242,184839,7,1
65,1.488,7.779544592,4.926107407,185029,7,1
66,1.535,7.778075933,4.878250837,180480,7,2
67,1.488,7.779284477,4.899511576,180799,7,2
68,1.488,7.776737928,4.878663778,180598,7,2
69,4.546,7.78057909,4.881761074,172645,7,3
70,1.511,7.779004335,4.880267859,172217,7,3
71,4.64,7.781561852,4.976610661,172693,7,3
72,5.21,7.783622026,4.937532663,170967,7,4
73,1.525,7.780529261,4.917860031,171418,7,4
74,1.508,7.77969861,4.942220449,171266,7,4
75,11.69,7.779126883,4.859558821,172244,7,5
76,13.28,7.781603575,5.103496075,171527,7,5
77,10.25,7.779753447,4.846243858,171973,7,5
78,11.49,7.782715321,4.877741814,167462,7,6
79,11.17,7.780931711,4.885124445,167565,7,6
80,11.22,7.7815938,4.887257814,167432,7,6
81,11.46,7.77948308,4.907493114,166820,7,7
82,11.43,7.783955097,4.906402826,166601,7,7
83,11.38,7.780320168,4.921937704,166747,7,7
84,1.49,7.784992456,4.9289608,184505,8,1
85,1.488,7.779505253,4.939076185,185206,8,1
86,1.501,7.78147316,4.951310635,185229,8,1
87,1.491,7.778287411,4.941387653,180171,8,2
88,1.5,7.778616428,4.916496992,180646,8,2
89,1.488,7.777146816,4.915674686,180462,8,2
90,4.566,7.779167414,5.017199039,172137,8,3
91,1.521,7.788835287,4.889897346,172313,8,3
92,1.509,7.777858734,4.924595118,171996,8,3
93,1.511,7.783443928,4.962107897,170470,8,4
94,1.593,7.779685259,5.007805347,170559,8,4
95,1.518,7.78066659,5.096747875,170590,8,4
96,1.505,7.781893492,4.983583212,171973,8,5
97,4.53,7.783216,4.977823734,172002,8,5
98,4.57,7.779105663,4.872386217,171870,8,5
99,11.58,7.779976845,4.908186674,167228,8,6
100,12.37,7.780555725,4.933088064,166965,8,6
101,10.72,7.778176069,4.906090736,167279,8,6
102,12.11,7.78126955,4.939255953,166384,8,7
103,10.28,7.78063345,4.953930616,166269,8,7
104,10.95,7.779132605,4.959729671,166743,8,7
105,10.65,7.788090944,4.936889887,171419,8,8
106,12.37,7.78131032,4.928569794,171466,8,8
107,10.18,7.78104496,4.924577475,171438,8,8
108,1.488,7.78221941,4.926032543,177196,9,1
109,1.488,7.776824236,4.939496517,177048,9,1
110,1.489,7.778175831,4.94466114,177109,9,1
111,1.487,7.777682304,4.893823624,172664,9,2
112,1.489,7.778078556,4.920417547,172102,9,2
113,1.486,7.776496887,4.938251734,172330,9,2
114,5.05,7.778177023,4.890454531,172173,9,3
115,1.519,7.77917552,4.885540009,172216,9,3
116,1.521,7.778703213,4.871978521,172211,9,3
117,1.489,7.781898975,4.981287718,167076,9,4
118,1.496,7.779736519,4.953314781,168361,9,4
119,5.719,7.779151678,4.978668451,170916,9,4
120,4.7,7.778790712,4.868837357,171401,9,5
121,1.502,7.785920382,4.873023033,172021,9,5
122,1.511,7.777691603,4.873035431,172083,9,5
123,5.29,7.781305552,4.907054186,167270,9,6
124,5.729,7.780437708,4.905953407,167238,9,6
125,1.504,7.779729128,4.899133205,167222,9,6
126,7.89,7.779045105,4.927165985,166129,9,7
127,9.88,7.781755447,4.932764769,166050,9,7
