instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,Upload,Download,Total,setId,vmId,cmd,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.57 Gbits/sec,8.87 Gbits/sec,9.57,8.87,18.44,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.47 Gbits/sec,9.05 Gbits/sec,9.47,9.05,18.52,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.44 Gbits/sec,8.88 Gbits/sec,9.44,8.88,18.32,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.45 Gbits/sec,9.13 Gbits/sec,9.45,9.13,18.58,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.48 Gbits/sec,8.90 Gbits/sec,9.48,8.90,18.38,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,9.26 Gbits/sec,9.60,9.26,18.86,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.59 Gbits/sec,9.46 Gbits/sec,9.59,9.46,19.05,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.52 Gbits/sec,8.99 Gbits/sec,9.52,8.99,18.51,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.48 Gbits/sec,8.87 Gbits/sec,9.48,8.87,18.35,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.48 Gbits/sec,8.76 Gbits/sec,9.48,8.76,18.24,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.45 Gbits/sec,8.87 Gbits/sec,9.45,8.87,18.32,1,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,18.51,0.247276069496129
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.52 Gbits/sec,8.00 Gbits/sec,9.52,8,17.52,2,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.49 Gbits/sec,7.99 Gbits/sec,9.49,7.99,17.48,2,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.59 Gbits/sec,7.67 Gbits/sec,9.59,7.67,17.26,2,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.53 Gbits/sec,8.08 Gbits/sec,9.53,8.08,17.61,2,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,8.03 Gbits/sec,9.6,8.03,17.63,2,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
