"yCruncher","setId","vmId"
5.818,0,35
5.822,0,35
5.825,0,35
5.822,0,35
5.849,0,35
5.83,0,35
5.831,0,35
5.77,0,35
5.837,0,19
5.82,0,19
5.809,0,19
5.833,0,19
5.833,0,19
5.852,0,19
5.796,0,19
5.765,0,19
5.828,0,12
5.825,0,12
5.824,0,12
5.807,0,12
5.814,0,12
5.8,0,12
5.798,0,12
5.763,0,12
5.814,0,10
5.817,0,10
5.834,0,10
5.797,0,10
5.798,0,10
5.776,0,10
5.751,0,10
5.751,0,10
5.761,0,6
5.749,0,6
5.767,0,6
5.782,0,6
5.788,0,6
5.781,0,6
5.8,0,6
5.7,0,6
5.845,0,30
5.843,0,30
5.845,0,30
5.854,0,30
5.841,0,30
5.827,0,30
5.822,0,30
5.778,0,30
5.839,0,33
5.831,0,33
5.859,0,33
5.84,0,33
5.842,0,33
5.803,0,33
5.813,0,33
5.769,0,33
5.836,0,36
5.838,0,36
5.798,0,36
5.758,0,36
5.815,0,36
5.796,0,36
5.761,0,36
5.739,0,36
5.82,0,25
5.817,0,25
5.823,0,25
5.824,0,25
5.843,0,25
5.816,0,25
5.799,0,25
5.758,0,25
5.836,0,16
5.81,0,16
5.808,0,16
5.809,0,16
5.855,0,16
5.839,0,16
5.812,0,16
5.771,0,16
5.822,0,48
5.863,0,48
5.865,0,48
5.85,0,48
5.845,0,48
5.849,0,48
5.843,0,48
5.8,0,48
5.794,0,5
5.813,0,5
5.759,0,5
5.762,0,5
5.81,0,5
5.731,0,5
5.74,0,5
5.74,0,5
5.829,0,38
5.837,0,38
5.852,0,38
5.82,0,38
5.826,0,38
5.814,0,38
5.809,0,38
5.774,0,38
5.816,0,32
5.811,0,32
5.815,0,32
5.838,0,32
5.796,0,32
5.798,0,32
5.829,0,32
5.741,0,32
5.811,0,9
5.778,0,9
5.751,0,9
5.784,0,9
5.77,0,9
5.794,0,9
5.787,0,9
5.734,0,9
5.877,0,40
5.873,0,40
5.845,0,40
5.827,0,40
5.841,0,40
5.826,0,40
5.854,0,40
5.77,0,40
5.77,0,13
5.77,0,13
5.793,0,13
5.786,0,13
5.804,0,13
5.816,0,13
5.805,0,13
5.723,0,13
5.745,0,31
5.789,0,31
5.789,0,31
5.804,0,31
5.832,0,31
5.805,0,31
5.79,0,31
5.739,0,31
5.792,0,8
5.783,0,8
5.782,0,8
5.773,0,8
5.717,0,8
5.709,0,8
5.716,0,8
5.75,0,8
5.804,0,7
5.763,0,7
5.742,0,7
5.765,0,7
5.8,0,7
5.777,0,7
5.82,0,7
5.731,0,7
5.783,0,24
5.789,0,24
5.73,0,24
5.708,0,24
5.731,0,24
5.684,0,24
5.699,0,24
5.757,0,24
5.798,0,3
5.861,0,3
5.85,0,3
5.841,0,3
5.832,0,3
5.788,0,3
5.784,0,3
5.742,0,3
5.801,0,15
5.825,0,15
5.798,0,15
5.805,0,15
5.798,0,15
5.793,0,15
5.787,0,15
5.756,0,15
5.725,0,43
5.763,0,43
5.736,0,43
5.69,0,43
5.691,0,43
5.689,0,43
5.712,0,43
5.705,0,43
5.812,0,41
5.861,0,41
5.87,0,41
5.834,0,41
5.824,0,41
5.801,0,41
5.779,0,41
5.781,0,41
5.79,0,4
5.797,0,4
5.751,0,4
5.769,0,4
5.732,0,4
5.728,0,4
5.712,0,4
5.719,0,4
5.812,0,17
5.825,0,17
5.79,0,17
5.819,0,17
5.797,0,17
5.794,0,17
5.793,0,17
5.739,0,17
5.803,0,20
5.845,0,20
5.827,0,20
5.85,0,20
5.847,0,20
5.854,0,20
5.851,0,20
5.769,0,20
5.835,0,28
5.836,0,28
5.831,0,28
5.841,0,28
5.87,0,28
5.851,0,28
5.834,0,28
5.782,0,28
5.816,0,21
5.829,0,21
5.825,0,21
5.834,0,21
5.833,0,21
5.813,0,21
5.831,0,21
5.746,0,21
5.856,0,29
5.808,0,29
5.799,0,29
5.823,0,29
5.825,0,29
5.812,0,29
5.789,0,29
5.738,0,29
5.842,0,11
5.873,0,11
5.868,0,11
5.859,0,11
5.851,0,11
5.85,0,11
5.836,0,11
5.774,0,11
5.842,0,39
5.881,0,39
5.848,0,39
5.818,0,39
5.837,0,39
5.858,0,39
5.829,0,39
5.793,0,39
5.816,0,22
5.804,0,22
5.82,0,22
5.824,0,22
5.853,0,22
5.834,0,22
5.858,0,22
5.776,0,22
5.822,0,18
5.801,0,18
5.775,0,18
5.788,0,18
5.787,0,18
5.775,0,18
5.833,0,18
5.715,0,18
5.845,0,2
5.841,0,2
5.785,0,2
5.805,0,2
5.812,0,2
5.77,0,2
5.752,0,2
5.733,0,2
5.867,0,45
5.898,0,45
5.892,0,45
5.848,0,45
5.847,0,45
5.899,0,45
5.843,0,45
5.786,0,45
5.805,0,37
5.801,0,37
5.838,0,37
5.85,0,37
5.817,0,37
5.825,0,37
5.8,0,37
5.732,0,37
5.811,0,1
5.848,0,1
5.826,0,1
5.823,0,1
5.842,0,1
5.817,0,1
5.827,0,1
5.754,0,1
5.843,0,23
5.843,0,23
5.837,0,23
5.819,0,23
5.857,0,23
5.87,0,23
5.841,0,23
5.784,0,23
5.818,0,47
5.811,0,47
5.8,0,47
5.807,0,47
5.843,0,47
5.802,0,47
5.799,0,47
5.765,0,47
5.75,0,44
5.757,0,44
5.793,0,44
5.786,0,44
5.769,0,44
5.798,0,44
5.8,0,44
5.7,0,44
5.877,0,14
5.871,0,14
5.846,0,14
5.841,0,14
5.879,0,14
5.818,0,14
5.815,0,14
5.783,0,14
5.861,0,34
5.866,0,34
5.885,0,34
5.857,0,34
5.855,0,34
5.87,0,34
5.835,0,34
5.823,0,34
5.73,0,46
5.726,0,46
5.745,0,46
5.741,0,46
5.73,0,46
5.757,0,46
5.781,0,46
5.703,0,46
5.813,0,42
5.82,0,42
5.809,0,42
5.831,0,42
5.81,0,42
5.805,0,42
5.827,0,42
5.72,0,42
5.781,0,26
5.73,0,26
5.738,0,26
5.7,0,26
5.679,0,26
5.695,0,26
5.711,0,26
5.707,0,26
5.826,0,27
5.837,0,27
5.844,0,27
5.823,0,27
5.843,0,27
5.838,0,27
5.841,0,27
5.777,0,27
5.868,1,35
5.838,1,35
