"iperf","sysbench","ycruncher","pgbench","set","vm"
1158,8.4582,7.197,50637,1,1
1186,8.4469,7.193,53321,1,1
1201,8.4542,7.203,52701,1,1
1156,8.4596,7.198,52219.6666666667,1,1
1167,8.4463,7.212,52219.6666666667,1,1
1161,8.4477,7.211,52219.6666666667,1,1
1158,8.4493,7.196,52219.6666666667,1,1
1152,8.4705,7.188,52219.6666666667,1,1
1158,8.4544,7.189,52219.6666666667,1,1
1176,8.4503,7.215,52219.6666666667,1,1
1149,8.4644,7.23,54518,2,1
1170,8.4529,7.219,54646,2,1
1198,8.4488,7.239,55194,2,1
1214,8.4478,7.212,54786,2,1
1155,8.4503,7.219,54786,2,1
1158,8.4529,7.226,54786,2,1
1158,8.4478,7.222,54786,2,1
1160,8.4675,7.238,54786,2,1
1158,8.4489,7.238,54786,2,1
1159,8.4491,7.219,54786,2,1
1157,8.4563,7.218,61041,2,2
1160,8.4463,7.223,60747,2,2
1160,8.4468,7.232,61481,2,2
1158,8.4558,7.226,61089.6666666667,2,2
1159,8.4577,7.249,61089.6666666667,2,2
1160,8.4517,7.223,61089.6666666667,2,2
1159,8.4572,7.237,61089.6666666667,2,2
1158,8.4632,7.223,61089.6666666667,2,2
1157,8.4551,7.217,61089.6666666667,2,2
1160,8.4504,7.233,61089.6666666667,2,2
1180,8.4588,7.262,56160,3,1
1133,8.4462,7.266,55132,3,1
1151,8.4536,7.267,55480,3,1
1147,8.4524,7.252,55590.6666666667,3,1
1193,8.4453,7.283,55590.6666666667,3,1
1212,8.449,7.23,55590.6666666667,3,1
1209,8.4517,7.27,55590.6666666667,3,1
1181,8.4663,7.293,55590.6666666667,3,1
1191,8.4452,7.259,55590.6666666667,3,1
1143,8.4478,7.261,55590.6666666667,3,1
1158,8.4609,7.248,62793,3,2
1158,8.4475,7.271,62000,3,2
1183,8.4507,7.28,62550,3,2
1085,8.4517,7.257,62447.6666666667,3,2
1035,8.4496,7.256,62447.6666666667,3,2
1193,8.45,7.249,62447.6666666667,3,2
1210,8.4603,7.236,62447.6666666667,3,2
1141,8.4641,7.273,62447.6666666667,3,2
1159,8.4502,7.276,62447.6666666667,3,2
1160,8.4466,7.26,62447.6666666667,3,2
1158,8.4535,7.262,61650,3,3
1158,8.4468,7.271,62044,3,3
1161,8.4521,7.283,61487,3,3
1158,8.4536,7.274,61727,3,3
1160,8.4514,7.276,61727,3,3
1188,8.4542,7.256,61727,3,3
1110,8.4592,7.266,61727,3,3
1160,8.455,7.277,61727,3,3
1159,8.4456,7.279,61727,3,3
1161,8.4451,7.265,61727,3,3
1209,8.4571,7.24,57630,4,1
1219,8.4455,7.262,57050,4,1
1159,8.4502,7.257,57607,4,1
1168,8.4539,7.247,57429,4,1
1186,8.4589,7.246,57429,4,1
1164,8.4537,7.277,57429,4,1
1149,8.4515,7.263,57429,4,1
1175,8.4705,7.287,57429,4,1
1180,8.4486,7.247,57429,4,1
1150,8.4452,7.251,57429,4,1
1163,8.456,7.28,62644,4,2
1162,8.4519,7.27,62670,4,2
1163,8.4518,7.277,62256,4,2
1218,8.4588,7.26,62523.3333333333,4,2
1222,8.4509,7.282,62523.3333333333,4,2
1199,8.45,7.291,62523.3333333333,4,2
1181,8.4585,7.257,62523.3333333333,4,2
1154,8.4696,7.271,62523.3333333333,4,2
1159,8.4482,7.283,62523.3333333333,4,2
1159,8.451,7.273,62523.3333333333,4,2
1158,8.4536,7.283,62482,4,3
1159,8.4462,7.275,62898,4,3
1164,8.446,7.28,59740,4,3
1166,8.4587,7.284,61706.6666666667,4,3
1170,8.4465,7.284,61706.6666666667,4,3
1173,8.452,7.278,61706.6666666667,4,3
1173,8.4612,7.304,61706.6666666667,4,3
1160,8.4617,7.284,61706.6666666667,4,3
1159,8.4459,7.287,61706.6666666667,4,3
1161,8.4401,7.268,61706.6666666667,4,3
1162,8.4475,7.234,55996,4,4
1162,8.455,7.254,55322,4,4
1192,8.4501,7.237,56560,4,4
1164,8.4536,7.246,55959.3333333333,4,4
1179,8.4518,7.234,55959.3333333333,4,4
1193,8.4569,7.245,55959.3333333333,4,4
1174,8.4526,7.262,55959.3333333333,4,4
1161,8.4457,7.232,55959.3333333333,4,4
1161,8.4495,7.236,55959.3333333333,4,4
1161,8.4457,7.252,55959.3333333333,4,4
1222,8.454,7.302,54438,5,1
1204,8.4506,7.284,56672,5,1
1197,8.4543,7.302,56591,5,1
1210,8.4545,7.281,55900.3333333333,5,1
1192,8.4537,7.3,55900.3333333333,5,1
1175,8.4546,7.283,55900.3333333333,5,1
1190,8.4564,7.292,55900.3333333333,5,1
1170,8.4706,7.293,55900.3333333333,5,1
1167,8.451,7.277,55900.3333333333,5,1
1181,8.4538,7.277,55900.3333333333,5,1
1161,8.4586,7.297,62822,5,2
1178,8.4515,7.279,63160,5,2
1169,8.4546,7.297,63768,5,2
1180,8.4517,7.273,63250,5,2
1190,8.4454,7.292,63250,5,2
1205,8.4512,7.293,63250,5,2
1187,8.4541,7.279,63250,5,2
