"pgbench","setId","vmId"
50637,1,1
53321,1,1
52701,1,1
54518,2,1
54646,2,1
55194,2,1
56160,3,1
55132,3,1
55480,3,1
57630,4,1
57050,4,1
57607,4,1
54438,5,1
56672,5,1
56591,5,1
56428,6,1
56774,6,1
56835,6,1
54133,7,1
55861,7,1
54689,7,1
57623,8,1
57366,8,1
57438,8,1
57619,9,1
56115,9,1
58018,9,1
56960,10,1
57983,10,1
57139,10,1
55950,11,1
56623,11,1
56949,11,1
57079,12,1
56390,12,1
57319,12,1
58299,13,1
58134,13,1
57800,13,1
57142,14,1
55309,14,1
54598,14,1
56731,15,1
56475,15,1
56666,15,1
55891,16,1
56091,16,1
56169,16,1
61041,2,2
60747,2,2
61481,2,2
62793,3,2
62000,3,2
62550,3,2
62644,4,2
62670,4,2
62256,4,2
62822,5,2
63160,5,2
63768,5,2
63949,6,2
63614,6,2
63581,6,2
62514,7,2
62525,7,2
62146,7,2
62576,8,2
62537,8,2
63074,8,2
62637,9,2
63073,9,2
62442,9,2
62728,10,2
63971,10,2
63566,10,2
62894,11,2
63621,11,2
63526,11,2
62979,12,2
63232,12,2
63024,12,2
63399,13,2
63537,13,2
62522,13,2
62779,14,2
61438,14,2
61744,14,2
60610,15,2
61498,15,2
61811,15,2
61159,16,2
60694,16,2
60899,16,2
61650,3,3
62044,3,3
61487,3,3
62482,4,3
62898,4,3
59740,4,3
62750,5,3
62499,5,3
62682,5,3
62921,6,3
59962,6,3
62013,6,3
60654,7,3
60826,7,3
58833,7,3
61862,8,3
62272,8,3
62543,8,3
62623,9,3
62567,9,3
62827,9,3
62660,10,3
61156,10,3
63811,10,3
61619,11,3
61375,11,3
58899,11,3
58554,12,3
59209,12,3
62507,12,3
62515,13,3
62432,13,3
60433,13,3
62250,14,3
62591,14,3
62990,14,3
59430,15,3
61441,15,3
62865,15,3
60511,16,3
61857,16,3
61610,16,3
55996,4,4
55322,4,4
56560,4,4
56344,5,4
57079,5,4
56025,5,4
55696,6,4
56704,6,4
56772,6,4
55545,7,4
55424,7,4
55403,7,4
54386,8,4
55207,8,4
53783,8,4
54702,9,4
53720,9,4
53976,9,4
53905,10,4
50870,10,4
57766,10,4
56772,11,4
53856,11,4
58210,11,4
59306,12,4
57325,12,4
56043,12,4
57084,13,4
57783,13,4
57205,13,4
58139,14,4
58403,14,4
57117,14,4
57426,15,4
57699,15,4
56349,15,4
55263,16,4
56344,16,4
56161,16,4
55070,5,5
54837,5,5
54990,5,5
52227,6,5
54107,6,5
54827,6,5
52212,7,5
52241,7,5
52029,7,5
54445,8,5
54613,8,5
53234,8,5
53683,9,5
54531,9,5
53357,9,5
53242,10,5
50304,10,5
49334,10,5
51632,11,5
52214,11,5
53714,11,5
54368,12,5
52526,12,5
52527,12,5
53335,13,5
54409,13,5
51050,13,5
54384,14,5
54425,14,5
54353,14,5
54074,15,5
54284,15,5
54576,15,5
53212,16,5
54112,16,5
53926,16,5
60544,6,6
60924,6,6
61551,6,6
61031,7,6
61098,7,6
61756,7,6
62254,8,6
61949,8,6
62175,8,6
62788,9,6
62803,9,6
63236,9,6
63085,10,6
63048,10,6
63329,10,6
62752,11,6
62588,11,6
63275,11,6
62933,12,6
62633,12,6
62903,12,6
63061,13,6
62805,13,6
62782,13,6
63203,14,6
62815,14,6
62818,14,6
61887,15,6
62036,15,6
62099,15,6
61674,16,6
61794,16,6
61932,16,6
51734,7,7
50695,7,7
51889,7,7
53444,8,7
55978,8,7
54656,8,7
54924,9,7
56092,9,7
55946,9,7
56305,10,7
55618,10,7
54963,10,7
52750,11,7
52122,11,7
52877,11,7
54328,12,7
53662,12,7
54794,12,7
54145,13,7
54486,13,7
53157,13,7
54423,14,7
53797,14,7
53428,14,7
54222,15,7
54285,15,7
53821,15,7
53826,16,7
53178,16,7
52479,16,7
54791,8,8
54207,8,8
54635,8,8
58751,9,8
58001,9,8
57492,9,8
58968,10,8
58844,10,8
58968,10,8
58629,11,8
57626,11,8
58923,11,8
58931,12,8
58246,12,8
58484,12,8
58700,13,8
58866,13,8
57940,13,8
58106,14,8
58391,14,8
58788,14,8
57844,15,8
58202,15,8
57669,15,8
56848,16,8
57207,16,8
57786,16,8
70716,9,9
69469,9,9
70852,9,9
72305,10,9
71948,10,9
71727,10,9
71041,11,9
71733,11,9
71523,11,9
71654,12,9
71141,12,9
71806,12,9
71867,13,9
72871,13,9
71513,13,9
70715,14,9
69688,14,9
71438,14,9
70475,15,9
71381,15,9
71940,15,9
70752,16,9
70951,16,9
70984,16,9
54645,10,10
55129,10,10
55235,10,10
53937,11,10
54517,11,10
54831,11,10
55251,12,10
55125,12,10
54880,12,10
54451,13,10
55764,13,10
54194,13,10
54682,14,10
54567,14,10
54445,14,10
54001,15,10
54147,15,10
53682,15,10
53883,16,10
53639,16,10
54128,16,10
55143,11,11
55100,11,11
56155,11,11
54972,12,11
55539,12,11
55920,12,11
56247,13,11
56609,13,11
55262,13,11
55919,14,11
56476,14,11
56545,14,11
55877,15,11
55733,15,11
56478,15,11
54791,16,11
54623,16,11
54582,16,11
51756,12,12
54589,12,12
55430,12,12
55244,13,12
54877,13,12
53407,13,12
56107,14,12
55171,14,12
55312,14,12
55157,15,12
55351,15,12
56877,15,12
55622,16,12
53587,16,12
54015,16,12
52321,13,13
53204,13,13
52978,13,13
53324,14,13
53505,14,13
52765,14,13
52852,15,13
53587,15,13
54085,15,13
53536,16,13
53553,16,13
53446,16,13
60751,14,14
60696,14,14
60481,14,14
57645,15,14
58391,15,14
59669,15,14
56618,16,14
58557,16,14
58341,16,14
56562,15,15
56810,15,15
57631,15,15
55818,16,15
57201,16,15
56890,16,15
60283,16,16
61217,16,16
61148,16,16
52219.6666666667,1,1
52219.6666666667,1,1
52219.6666666667,1,1
52219.6666666667,1,1
52219.6666666667,1,1
52219.6666666667,1,1
52219.6666666667,1,1
54786,2,1
54786,2,1
54786,2,1
54786,2,1
54786,2,1
54786,2,1
54786,2,1
55590.6666666667,3,1
55590.6666666667,3,1
55590.6666666667,3,1
55590.6666666667,3,1
55590.6666666667,3,1
55590.6666666667,3,1
